sku,category,description,unit,unit_price,currency,source,updated_at,tags
TER-101-01-EXTRACCION-CAPA-VEGETAL-E-0-20M,MOVIMIENTOS DE TIERRA,EXTRACCION CAPA VEGETAL E=0.20m,M2,32.36,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXTRACCION CAPA VEGETAL E=0.20m MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.01 EXTRACCION CAPA VEGETAL E=0.20m MOVIMIENTOS DE TIERRA
TER-101-02-EXCAVACION-CALICHE-CIELO-ABIERTO-EXCAVADORA-CAT320D-CU,MOVIMIENTOS DE TIERRA,EXCAVACION CALICHE CIELO ABIERTO- EXCAVADORA CAT320D CUBO,M3N,186.55,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVACION CALICHE CIELO ABIERTO- EXCAVADORA CAT320D CUBO MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.02 EXCAVACION CALICHE CIELO ABIERTO- EXCAVADORA CAT320D CUBO MOVIMIENTOS DE TIERRA
TER-101-03-EXCAVACION-EN-ROCA-CIELO-ABIERTO-EXCAVADORA-CAT320D-MA,MOVIMIENTOS DE TIERRA,EXCAVACION EN ROCA CIELO ABIERTO - EXCAVADORA CAT320D MARTILLO,M3N,652.46,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVACION EN ROCA CIELO ABIERTO - EXCAVADORA CAT320D MARTILLO MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.03 EXCAVACION EN ROCA CIELO ABIERTO - EXCAVADORA CAT320D MARTILLO MOVIMIENTOS DE TIERRA
TER-101-04-EXCAVACION-EN-CALICHE-CON-COMPRESOR-185CFM-2-PISTOLAS,MOVIMIENTOS DE TIERRA,EXCAVACION EN CALICHE CON COMPRESOR 185CFM 2 PISTOLAS,M3N,1335.53,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVACION EN CALICHE CON COMPRESOR 185CFM 2 PISTOLAS MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.04 EXCAVACION EN CALICHE CON COMPRESOR 185CFM 2 PISTOLAS MOVIMIENTOS DE TIERRA
TER-101-05-EXCAVACION-EN-ROCA-CON-COMPRESOR-185CFM-2-PISTOLAS,MOVIMIENTOS DE TIERRA,EXCAVACION EN ROCA CON COMPRESOR 185CFM 2 PISTOLAS,M3N,3242.31,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVACION EN ROCA CON COMPRESOR 185CFM 2 PISTOLAS MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.05 EXCAVACION EN ROCA CON COMPRESOR 185CFM 2 PISTOLAS MOVIMIENTOS DE TIERRA
TER-101-06-DEMOLICION-ELEMENTOS-HORMIGON-CON-COMPRESOR-185CFM-2-P,MOVIMIENTOS DE TIERRA,DEMOLICION ELEMENTOS HORMIGON CON COMPRESOR 185CFM 2 PISTOLAS,M3N,4513.56,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,DEMOLICION ELEMENTOS HORMIGON CON COMPRESOR 185CFM 2 PISTOLAS MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.06 DEMOLICION ELEMENTOS HORMIGON CON COMPRESOR 185CFM 2 PISTOLAS MOVIMIENTOS DE TIERRA
TER-101-07-CARGA-MATERIAL-PALA-CAT950G,MOVIMIENTOS DE TIERRA,CARGA MATERIAL - PALA CAT950G,M3E,80.24,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,CARGA MATERIAL - PALA CAT950G MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.07 CARGA MATERIAL - PALA CAT950G MOVIMIENTOS DE TIERRA
TER-101-08-CARGA-MATERIAL-EXCAVADORA-CAT320D-CUBO,MOVIMIENTOS DE TIERRA,CARGA MATERIAL - EXCAVADORA CAT320D CUBO,M3E,83.07,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,CARGA MATERIAL - EXCAVADORA CAT320D CUBO MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.08 CARGA MATERIAL - EXCAVADORA CAT320D CUBO MOVIMIENTOS DE TIERRA
TER-101-09-CARGA-MATERIAL-RETROPALA-CAT416E,MOVIMIENTOS DE TIERRA,CARGA MATERIAL - RETROPALA CAT416E,M3E,133.65,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,CARGA MATERIAL - RETROPALA CAT416E MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.09 CARGA MATERIAL - RETROPALA CAT416E MOVIMIENTOS DE TIERRA retroexcavadora
TER-101-1-CARGA-MATERIAL-MINICARGADOR-BOBCAT-763G,MOVIMIENTOS DE TIERRA,CARGA MATERIAL-MINICARGADOR BOBCAT 763G,M3E,141.16,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,CARGA MATERIAL-MINICARGADOR BOBCAT 763G MOVIMIENTOS DE TIERRA Excon S.A. Excavaciones y Mov Tierra 101.1 CARGA MATERIAL-MINICARGADOR BOBCAT 763G MOVIMIENTOS DE TIERRA
