sku,category,description,unit,unit_price,currency,source,updated_at,tags
LAB-MAESTRO-MA,JORNALES DIARIOS,Maestro (MA),DIA,2941.78,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Maestro (MA) JORNALES DIARIOS Maestro (MA) JORNALES DIARIOS oficial mano obra jornales diarios
LAB-TRABAJADOR-DE-1RA-CATEGORIA-T1,JORNALES DIARIOS,Trabajador de 1ra Categoría (T1),DIA,2334.67,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Trabajador de 1ra Categoría (T1) JORNALES DIARIOS Trabajador de 1ra Categoria (T1) JORNALES DIARIOS oficial mano obra jornales diarios
LAB-TRABAJADOR-DE-2DA-CATEGORIA-T2,JORNALES DIARIOS,Trabajador de 2da Categoría (T2),DIA,1867.44,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Trabajador de 2da Categoría (T2) JORNALES DIARIOS Trabajador de 2da Categoria (T2) JORNALES DIARIOS oficial mano obra jornales diarios
LAB-TRABAJADOR-DE-3RA-CATEGORIA-TERMINADOR-T3,JORNALES DIARIOS,Trabajador de 3ra Categoría - Terminador (T3),DIA,1636.80,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Trabajador de 3ra Categoría - Terminador (T3) JORNALES DIARIOS Trabajador de 3ra Categoria - Terminador (T3) JORNALES DIARIOS oficial mano obra jornales diarios
LAB-AYUDANTE-AY,JORNALES DIARIOS,Ayudante (AY),DIA,1260.34,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Ayudante (AY) JORNALES DIARIOS Ayudante (AY) JORNALES DIARIOS
LAB-TRABAJADOR-CALIFICADO-TC,JORNALES DIARIOS,Trabajador Calificado (TC),DIA,1072.85,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Trabajador Calificado (TC) JORNALES DIARIOS Trabajador Calificado (TC) JORNALES DIARIOS oficial mano obra jornales diarios
LAB-PEON-O-TRABAJADOR-NO-CALIFICADO-PE,JORNALES DIARIOS,Peón o Trabajador No Calificado (PE),DIA,980.59,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Peón o Trabajador No Calificado (PE) JORNALES DIARIOS Peon o Trabajador No Calificado (PE) JORNALES DIARIOS oficial mano obra jornales diarios
LAB-100-01-EXCAVACION-A-MANO-EN-TIERRA,EXCAVACIONES,Excavación a mano en tierra,M3N,653.73,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Excavación a mano en tierra EXCAVACIONES 100.01 Excavacion a mano en tierra EXCAVACIONES
LAB-100-02-EXCAVACION-A-MANO-EN-CALICHE,EXCAVACIONES,Excavación a mano en caliche,M3N,980.59,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Excavación a mano en caliche EXCAVACIONES 100.02 Excavacion a mano en caliche EXCAVACIONES
LAB-100-03-EXCAVACION-A-MANO-EN-ROCA,EXCAVACIONES,Excavación a mano en roca,M3N,1961.18,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Excavación a mano en roca EXCAVACIONES 100.03 Excavacion a mano en roca EXCAVACIONES
LAB-200-01-COLOC-ACERO-ALTA-RESISTENCIA,MO COLOCACION ACERO,Coloc. acero alta resistencia,QQ,723.91,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Coloc. acero alta resistencia MO COLOCACION ACERO 200.01 Coloc. acero alta resistencia MO COLOCACION ACERO
LAB-200-02-COLOC-ACERO-COL-3-8-O-1-2-HASTA-6-DE-1-2,MO COLOCACION ACERO,"Coloc. acero col. 3/8"" ó 1/2"", hasta 6 de 1/2""",ML,160.51,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,"Coloc. acero col. 3/8"" ó 1/2"", hasta 6 de 1/2"" MO COLOCACION ACERO 200.02 Coloc. acero col. 3/8"" o 1/2"", hasta 6 de 1/2"" MO COLOCACION ACERO"
LAB-200-03-COLOC-ACERO-DINTEL-Y-V-AMARRE-HASTA-20X-40-Y-1-2-O-3-8,MO COLOCACION ACERO,"Coloc. acero dintel y v. Amarre hasta 20x.40 y ½"" ó 3/8""",ML,160.51,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,"Coloc. acero dintel y v. Amarre hasta 20x.40 y ½"" ó 3/8"" MO COLOCACION ACERO 200.03 Coloc. acero dintel y v. Amarre hasta 20x.40 y 1⁄2"" o 3/8"" MO COLOCACION ACERO"
LAB-200-04-COLOC-ACERO-MALLA-ELECTROSOLDADA,MO COLOCACION ACERO,Coloc. acero malla electrosoldada,M2,57.31,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Coloc. acero malla electrosoldada MO COLOCACION ACERO 200.04 Coloc. acero malla electrosoldada MO COLOCACION ACERO
LAB-200-05-COLOC-ACERO-MALLA-ELECTROSOLDADA,MO COLOCACION ACERO,Coloc. acero malla electrosoldada,QQ,723.91,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Coloc. acero malla electrosoldada MO COLOCACION ACERO 200.05 Coloc. acero malla electrosoldada MO COLOCACION ACERO
LAB-200-06-COLOC-ACERO-NORMAL,MO COLOCACION ACERO,Coloc. acero normal,QQ,723.91,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Coloc. acero normal MO COLOCACION ACERO 200.06 Coloc. acero normal MO COLOCACION ACERO
LAB-200-07-COLOC-ACERO-RAMPA-ESCALERA-CORRIENTE,MO COLOCACION ACERO,Coloc. acero rampa escalera corriente,RAMPA,4220.70,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Coloc. acero rampa escalera corriente MO COLOCACION ACERO 200.07 Coloc. acero rampa escalera corriente MO COLOCACION ACERO
LAB-200-08-COLOC-ACERO-VIGA-6-DE-1-2-O-3-4-2-DE-1-Y-2-DE-3-4-25X4,MO COLOCACION ACERO,"Coloc. acero viga 6 de ½"" ó ¾"", 2 de 1"" y 2 de ¾"", 25x40",ML,160.51,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,"Coloc. acero viga 6 de ½"" ó ¾"", 2 de 1"" y 2 de ¾"", 25x40 MO COLOCACION ACERO 200.08 Coloc. acero viga 6 de 1⁄2"" o 3⁄4"", 2 de 1"" y 2 de 3⁄4"", 25x40 MO COLOCACION ACERO"
LAB-200-09-COLOC-ACERO-VIGA-POSTENS-Y-PORTICOS-EN-COL,MO COLOCACION ACERO,Coloc. acero viga postens. y pórticos en col.,QQ,764.88,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Coloc. acero viga postens. y pórticos en col. MO COLOCACION ACERO 200.09 Coloc. acero viga postens. y porticos en col. MO COLOCACION ACERO
LAB-200-1-COLOC-ACERO-ZAPATA-DE-MUROS-COLS-Y-VIGAS-AMARRE,MO COLOCACION ACERO,"Coloc. acero zapata de muros, cols y vigas amarre",ML,160.51,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,"Coloc. acero zapata de muros, cols y vigas amarre MO COLOCACION ACERO 200.1 Coloc. acero zapata de muros, cols y vigas amarre MO COLOCACION ACERO"
LAB-200-11-COLOCACION-VARILLAS-INCREMENTO-PRECIO-POR-ALTURA-EN-2D,MO COLOCACION ACERO,Colocación varillas (incremento precio por altura) en 2do nivel,-,0.10,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Colocación varillas (incremento precio por altura) en 2do nivel MO COLOCACION ACERO 200.11 Colocacion varillas (incremento precio por altura) en 2do nivel MO COLOCACION ACERO
LAB-200-12-COLOCACION-VARILLAS-INCREMENTO-PRECIO-POR-ALTURA-EN-3R,MO COLOCACION ACERO,Colocación varillas (incremento precio por altura) en 3ro nivel,-,0.15,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Colocación varillas (incremento precio por altura) en 3ro nivel MO COLOCACION ACERO 200.12 Colocacion varillas (incremento precio por altura) en 3ro nivel MO COLOCACION ACERO
LAB-200-13-COLOCACION-VARILLAS-INCREMENTO-PRECIO-POR-ALTURA-EN-4T,MO COLOCACION ACERO,Colocación varillas (incremento precio por altura) en 4to nivel,-,0.20,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Colocación varillas (incremento precio por altura) en 4to nivel MO COLOCACION ACERO 200.13 Colocacion varillas (incremento precio por altura) en 4to nivel MO COLOCACION ACERO
LAB-200-14-COLOCACION-VARILLAS-INCREMENTO-PRECIO-POR-ALTURA-EN-5T,MO COLOCACION ACERO,Colocación varillas (incremento precio por altura) en 5to nivel,-,0.25,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Colocación varillas (incremento precio por altura) en 5to nivel MO COLOCACION ACERO 200.14 Colocacion varillas (incremento precio por altura) en 5to nivel MO COLOCACION ACERO
LAB-200-15-COLOCACION-VARILLAS-INCREMENTO-PRECIO-POR-ALTURA-EN-6T,MO COLOCACION ACERO,Colocación varillas (incremento precio por altura) en 6to nivel en adelante,-,0.30,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Colocación varillas (incremento precio por altura) en 6to nivel en adelante MO COLOCACION ACERO 200.15 Colocacion varillas (incremento precio por altura) en 6to nivel en adelante MO COLOCACION ACERO
LAB-300-01-LOSAS-PLANAS-2-60M-ALTURA,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Losas Planas < 2.60m altura,M2,889.54,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Losas Planas < 2.60m altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.01 Losas Planas < 2.60m altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-02-VUELOS-PLANOS-2-60M-ALTURA,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Vuelos Planos < 2.60m altura,ML,889.54,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Vuelos Planos < 2.60m altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.02 Vuelos Planos < 2.60m altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-03-LOSAS-PLANAS-HASTA-3-00M-DE-ALTURA,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Losas Planas hasta 3.00m de altura,M2,932.58,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Losas Planas hasta 3.00m de altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.03 Losas Planas hasta 3.00m de altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-04-VUELOS-PLANOS-HASTA-3-00M-DE-ALTURA,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Vuelos planos hasta 3.00m de altura,ML,932.58,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Vuelos planos hasta 3.00m de altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.04 Vuelos planos hasta 3.00m de altura MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-05-LOSAS-INCLINADAS-EN-1-DIRECCION-HASTA-ALTURA-3-00M,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Losas inclinadas en 1 dirección hasta altura 3.00m,M2,903.89,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Losas inclinadas en 1 dirección hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.05 Losas inclinadas en 1 direccion hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-06-LOSAS-INCLINCADAS-EN-2-DIRECCIONES-HASTA-ALTURA-3-00M,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Losas Inclincadas en 2 direcciones hasta altura 3.00m,M2,903.89,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Losas Inclincadas en 2 direcciones hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.06 Losas Inclincadas en 2 direcciones hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-07-VUELOS-INCLINADOS-EN-2-DIRECCCIONES-HASTA-ALTURA-3-00M,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Vuelos inclinados en 2 direccciones hasta altura 3.00m,ML,968.45,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Vuelos inclinados en 2 direccciones hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.07 Vuelos inclinados en 2 direccciones hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-08-LOSAS-INCLINADAS-DE-2-LIMAS-HASTA-ALTURA-3-00M,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Losas inclinadas < de 2 limas hasta altura 3.00m,M2,968.45,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Losas inclinadas < de 2 limas hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.08 Losas inclinadas < de 2 limas hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO
LAB-300-09-VUELOS-EN-LOSAS-INCLINADAS-DE-2-LIMAS-HASTA-ALTURA-3-0,MO CARPINTERIA-ENCOFRADOS - TODO COSTO,Vuelos en losas inclinadas < de 2 limas hasta altura 3.00m,ML,968.45,DOP,ConstruCosto.do Mano de Obra Santo Domingo MAYO26,2026-05-01,Vuelos en losas inclinadas < de 2 limas hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO 300.09 Vuelos en losas inclinadas < de 2 limas hasta altura 3.00m MO CARPINTERIA-ENCOFRADOS - TODO COSTO
