sku,category,description,unit,unit_price,currency,source,updated_at,tags
MAT-CAL-GRANDE-HIDRATADA-20-KILOS,CEMENTOS,Cal Grande hidratada 20 kilos,FDA,419.49,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Cal Grande hidratada 20 kilos CEMENTOS MINIBANNER CON LINK Cal Grande hidratada 20 kilos CEMENTOS
MAT-CEMENTO-BLANCO-TITAN-40-KILOS,CEMENTOS,Cemento Blanco Titan 40 kilos,FDA,1131.36,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Cemento Blanco Titan 40 kilos CEMENTOS MINIBANNER CON LINK Cemento Blanco Titan 40 kilos CEMENTOS
MAT-CEMENTO-GRIS-94-LBS-TIPO-PORTLAND,CEMENTOS,Cemento Gris 94 lbs. Tipo Portland,FDA,461.86,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Cemento Gris 94 lbs. Tipo Portland CEMENTOS MINIBANNER CON LINK Cemento Gris 94 lbs. Tipo Portland CEMENTOS
MAT-MORTERO-PARA-BLOQUES-PEGA-BLOQUES-ANTILLANA-94-LBS,CEMENTOS,Mortero para bloques Pega Bloques Antillana 94 lbs.,FDA,317.80,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Mortero para bloques Pega Bloques Antillana 94 lbs. CEMENTOS MINIBANNER CON LINK Mortero para bloques Pega Bloques Antillana 94 lbs. CEMENTOS
MAT-MORTERO-PARA-EMPANETES-MEZCLA-ANTILLANA-94-LBS,CEMENTOS,Mortero para empañetes Mezcla Antillana 94 lbs.,FDA,343.22,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Mortero para empañetes Mezcla Antillana 94 lbs. CEMENTOS MINIBANNER CON LINK Mortero para empanetes Mezcla Antillana 94 lbs. CEMENTOS
MAT-MORTERO-PARA-CERAMICAS-PEGATOD-50-LBS,CEMENTOS,Mortero para cerámicas PegaTod 50 Lbs.,FDA,218.64,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Mortero para cerámicas PegaTod 50 Lbs. CEMENTOS 7-8 M2 por funda MINIBANNER CON LINK Mortero para ceramicas PegaTod 50 Lbs. CEMENTOS
MAT-MORTERO-PARA-CERAMICAS-PEGATOD-BLANCO-50-LBS,CEMENTOS,Mortero para cerámicas PegaTod Blanco 50 Lbs.,FDA,533.90,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Mortero para cerámicas PegaTod Blanco 50 Lbs. CEMENTOS MINIBANNER CON LINK Mortero para ceramicas PegaTod Blanco 50 Lbs. CEMENTOS
MAT-YESO-ESCAYOLA-E-30-55-LBS,CEMENTOS,Yeso Escayola E-30 55 Lbs.,FDA,334.75,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Yeso Escayola E-30 55 Lbs. CEMENTOS MINIBANNER CON LINK Yeso Escayola E-30 55 Lbs. CEMENTOS
MAT-ARENA-GRUESA-ITABO-LAVADA,AGREGADOS,Arena gruesa Itabo lavada,M3,1398.31,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Arena gruesa Itabo lavada AGREGADOS Praintex - Agregados y Botes Arena gruesa Itabo lavada AGREGADOS
MAT-ARENA-ITABO-DE-MINA,AGREGADOS,Arena Itabo de mina,M3,1398.31,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Arena Itabo de mina AGREGADOS Praintex - Agregados y Botes Arena Itabo de mina AGREGADOS
MAT-ARENA-FINA-PANETE-AZUL,AGREGADOS,Arena Fina Pañete azul,M3,1694.92,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Arena Fina Pañete azul AGREGADOS Praintex - Agregados y Botes Arena Fina Panete azul AGREGADOS
MAT-ARENA-TRITURADA-LAVADA-AZUL,AGREGADOS,Arena triturada lavada azul,M3,2381.36,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Arena triturada lavada azul AGREGADOS Praintex - Agregados y Botes Arena triturada lavada azul AGREGADOS
MAT-GRAVA-DE-3-4,AGREGADOS,"Grava de 3/4""",M3,1398.31,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Grava de 3/4"" AGREGADOS Praintex - Agregados y Botes Grava de 3/4"" AGREGADOS"
MAT-GRAVA-DE-1-2,AGREGADOS,"Grava de 1/2""",M3,1398.31,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Grava de 1/2"" AGREGADOS Praintex - Agregados y Botes Grava de 1/2"" AGREGADOS"
MAT-GRAVA-DE-3-8,AGREGADOS,"Grava de 3/8""",M3,1355.93,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Grava de 3/8"" AGREGADOS Praintex - Agregados y Botes Grava de 3/8"" AGREGADOS"
MAT-CALICHE,AGREGADOS,Caliche,M3,381.36,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Caliche AGREGADOS Praintex - Agregados y Botes Caliche AGREGADOS
MAT-GRANZOTE-GRUESO,AGREGADOS,Granzote grueso,M3,550.85,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Granzote grueso AGREGADOS Praintex - Agregados y Botes Granzote grueso AGREGADOS
MAT-GRANZOTE-FINO-O-GRAVILLITA,AGREGADOS,Granzote fino o gravillita,M3,635.59,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Granzote fino o gravillita AGREGADOS Praintex - Agregados y Botes Granzote fino o gravillita AGREGADOS
MAT-CASCAJO-DE-MINA-EN-MINA,AGREGADOS,Cascajo de mina (en mina),M3,677.97,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Cascajo de mina (en mina) AGREGADOS Praintex - Agregados y Botes Cascajo de mina (en mina) AGREGADOS
MAT-MATERIAL-DE-BASE-TRITURADO-EN-MINA,AGREGADOS,Material de base triturado (en mina),M3,805.08,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Material de base triturado (en mina) AGREGADOS Praintex - Agregados y Botes Material de base triturado (en mina) AGREGADOS
MAT-PIEDRA-PARA-MURO-DE-GAVIONES-EN-MINA,AGREGADOS,Piedra para muro de gaviones (en mina),M3,805.08,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Piedra para muro de gaviones (en mina) AGREGADOS Praintex - Agregados y Botes Piedra para muro de gaviones (en mina) AGREGADOS
MAT-TIERRA-NEGRA,AGREGADOS,Tierra Negra,M3,1101.69,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Tierra Negra AGREGADOS Praintex - Agregados y Botes Tierra Negra AGREGADOS
MAT-AGUA-PARA-HORMIGONES-Y-MORTEROS,AGREGADOS,Agua para hormigones y morteros,GL,1.50,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,Agua para hormigones y morteros AGREGADOS MINIBANNER CON LINK Agua para hormigones y morteros AGREGADOS
MAT-CAMION-DE-AGUA-1-200GLS,AGREGADOS,"Camión de agua 1,200GLS",UND,3500.00,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Camión de agua 1,200GLS AGREGADOS MINIBANNER CON LINK Camion de agua 1,200GLS AGREGADOS"
MAT-BOTE-Y-CARGA-A-MANO-EN-CAMION-6M3,"TRANPORTE, CARGA Y BOTE MATERIAL",Bote y carga a mano en camión 6M3,UND,3500.00,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Bote y carga a mano en camión 6M3 TRANPORTE, CARGA Y BOTE MATERIAL Praintex - Agregados y Botes Bote y carga a mano en camion 6M3 TRANPORTE, CARGA Y BOTE MATERIAL"
MAT-BOTE-EN-CAMION-6M3-SOLO-BOTE-SIN-CARGA-MANUAL,"TRANPORTE, CARGA Y BOTE MATERIAL",Bote en camión 6M3 (solo bote sin carga manual),UND,3000.00,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Bote en camión 6M3 (solo bote sin carga manual) TRANPORTE, CARGA Y BOTE MATERIAL Praintex - Agregados y Botes Bote en camion 6M3 (solo bote sin carga manual) TRANPORTE, CARGA Y BOTE MATERIAL"
MAT-TRANSPORTE-CAMIONES-VOLTEO-ARRANQUE-0-5KMS-SOLO-TRANSP,"TRANPORTE, CARGA Y BOTE MATERIAL",Transporte camiones volteo (arranque 0-5Kms) - Solo transporte,M3E,130.00,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Transporte camiones volteo (arranque 0-5Kms) - Solo transporte TRANPORTE, CARGA Y BOTE MATERIAL Praintex - Agregados y Botes Transporte camiones volteo (arranque 0-5Kms) - Solo transporte TRANPORTE, CARGA Y BOTE MATERIAL"
MAT-TRANSP-CAMIONES-VOLTEO-POR-KMS-MIN-5KMS-SOLO-TRANSPORT,"TRANPORTE, CARGA Y BOTE MATERIAL",Transp. camiones volteo por Kms (Min 5kms)-Solo transporte,M3XKM,18.00,DOP,ConstruCosto.do Materiales e Insumos Santo Domingo MAYO26,2026-05-01,"Transp. camiones volteo por Kms (Min 5kms)-Solo transporte TRANPORTE, CARGA Y BOTE MATERIAL Praintex - Agregados y Botes Transp. camiones volteo por Kms (Min 5kms)-Solo transporte TRANPORTE, CARGA Y BOTE MATERIAL"
